FountainTy,the_geom,OBJECTID,Position,Collection,Painted,GISPROPNUM,SIGNNAME,BOROUGH,FountainCo,GISOBJID,SYSTEM,DEPARTMENT,PARENTID,DESCRIPTIO,FEATURESTA
E Wheelchair,POINT (-73.97189095458897 40.788779675831215),2529,"Under Tree, In Playground",03/26/2018 12:00:00 AM +0000,yes,M264,Playground Eighty Nine LXXXIX,M,1,100039968,M264-DF0336,M-07,M264,"E Wheelchair, Under Tree, In Playground",Active
F,POINT (-74.00123219921704 40.7549674285325),2535,Out in Open,03/27/2018 12:00:00 AM +0000,yes,M399,Hudson Park,M,1,100039972,M399-DF0342,M-04,M399,"F, Out in Open",Active
C,POINT (-73.94976698905515 40.72077612516521),514,"Under Tree, Just Outside Playground",01/22/2018 12:00:00 AM +0000,no,B058,McCarren Park,B,1,100037934,B058-DF0407,B-01,B058,"C, Under Tree, Just Outside Playground",Active
D,POINT (-73.80716755410685 40.58607201064845),1301,In Playground,02/02/2018 12:00:00 AM +0000,no,Q163,Rockaway Beach Boardwalk,Q,1,100038742,Q163-DF0410,Q-14,Q163,"D, In Playground",Active
Trough,POINT (-73.79972674474777 40.586537132516256),1307,Out in Open,02/02/2018 12:00:00 AM +0000,no,Q162,Rockaway Beach and Boardwalk,Q,1,100038792,Q162-DF0416,Q-14,Q162,"Trough, Out in Open",Active
Bottle Filler High Low,POINT (-73.97826735112393 40.73974279375072),1842,Just Outside Playground,02/15/2018 12:00:00 AM +0000,yes,M263,Bellevue South Park,M,2,100039255,M263-DF0031,M-06,M263,"Bottle Filler High Low, Just Outside Playground",Active
B,POINT (-73.98427416342837 40.73440133891812),1848,"Out in Open, Under Tree",02/15/2018 12:00:00 AM +0000,no,M086,Stuyvesant Square,M,1,100039224,M086-DF0037,M-06,M086,"B, Out in Open, Under Tree",Active
C,POINT (-73.99971727768617 40.7152989135713),2635,"Near Ballfield, Under Tree",04/06/2018 12:00:00 AM +0000,no,M015,Columbus Park,M,1,100039996,M015-DF0442,M-01,M015,"C, Near Ballfield, Under Tree",Active
Bottle Filler High Low,POINT (-73.91192206024367 40.760083674722985),2973,Out in Open,06/05/2018 12:00:00 AM +0000,yes,Q014,Astoria Heights Playground,Q,2,100040290,Q014-DF0802,Q-01,Q014,"Bottle Filler High Low, Out in Open",Active
C,POINT (-73.91846159660729 40.69499030392177),73,"Out in Open, In Playground",01/12/2018 12:00:00 AM +0000,no,B139,Heckscher Playground,B,1,100037460,B139-DF0063,B-04,B139,"C, Out in Open, In Playground",Active
D,POINT (-73.91319470734759 40.62052617330806),912,"Out in Open, Near Ballfield",01/30/2018 12:00:00 AM +0000,no,B330,Hickman Playground,B,1,100038327,B330-DF0558,B-18,B330,"D, Out in Open, Near Ballfield",Active
A,POINT (-73.80059579864046 40.71546908964503),1155,In Playground,02/01/2018 12:00:00 AM +0000,no,Q391,Joseph Austin Playground,Q,1,100038538,Q391-DF0292,Q-08,Q391,"A, In Playground",Active
